dataset,classifier,resampling,balancing,threshold,fixed_threshold,train_size,train_size_class_0,train_size_class_1,test_size,test_size_class_0,test_size_class_1,feature,n_term,tp,fp,tn,fn,acc_class_0,acc_class_1,balanced_acc,precision,recall,fmeasure
Eclipse,knn,boot,downsample,16,64,4094,2047,2047,1364,682,682,short_long_description,200,216,192,466,490,0.5294117647058824,0.4874476987447699,0.5084297317253261,0.5294117647058824,0.3059490084985836,0.38779174147217244
Eclipse,knn,boot,smote,16,64,8754,4660,4094,2917,1553,1364,short_long_description,200,473,140,1080,1224,0.7716150081566069,0.46875,0.6201825040783034,0.7716150081566069,0.2787271655863288,0.4095238095238095
Eclipse,knn,boot,unbalanced,16,64,6707,4660,2047,2235,1553,682,short_long_description,200,1273,525,280,157,0.7080088987764183,0.6407322654462243,0.6743705821113213,0.7080088987764183,0.8902097902097902,0.788723667905824
Eclipse,knn,boot,custom,20,64,4094,2047,2047,1364,682,682,short_long_description,200,241,200,441,482,0.546485260770975,0.47778981581798485,0.5121375382944799,0.546485260770975,0.3333333333333333,0.4140893470790377
Eclipse,knn,boot,downsample,20,64,4094,2047,2047,1364,682,682,short_long_description,200,241,200,441,482,0.546485260770975,0.47778981581798485,0.5121375382944799,0.546485260770975,0.3333333333333333,0.4140893470790377
Eclipse,knn,boot,smote,20,64,8969,4875,4094,2989,1625,1364,short_long_description,200,504,179,1121,1185,0.7379209370424598,0.48612315698178665,0.6120220470121231,0.7379209370424598,0.2984014209591474,0.42495784148397975
Eclipse,knn,boot,unbalanced,20,64,6922,4875,2047,2307,1625,682,short_long_description,200,1300,518,325,164,0.7150715071507151,0.6646216768916156,0.6898465920211654,0.7150715071507151,0.8879781420765027,0.7921998781230958
Eclipse,knn,boot,custom,24,64,4094,2047,2047,1364,682,682,short_long_description,200,217,203,465,479,0.5166666666666667,0.4925847457627119,0.5046257062146893,0.5166666666666667,0.3117816091954023,0.38888888888888895
Eclipse,knn,boot,downsample,24,64,4094,2047,2047,1364,682,682,short_long_description,200,217,203,465,479,0.5166666666666667,0.4925847457627119,0.5046257062146893,0.5166666666666667,0.3117816091954023,0.38888888888888895
Eclipse,knn,boot,smote,24,64,9180,5086,4094,3059,1695,1364,short_long_description,200,539,197,1156,1167,0.7323369565217391,0.4976323719328455,0.6149846642272923,0.7323369565217391,0.3159437280187573,0.44144144144144143
Eclipse,knn,boot,unbalanced,24,64,7133,5086,2047,2377,1695,682,short_long_description,200,1387,552,308,130,0.7153171738009283,0.7031963470319634,0.7092567604164459,0.7153171738009283,0.9143045484508899,0.8026620370370371
Eclipse,knn,boot,custom,28,64,4094,2047,2047,1364,682,682,short_long_description,200,258,241,424,441,0.5170340681362725,0.49017341040462425,0.5036037392704484,0.5170340681362725,0.36909871244635195,0.4307178631051753
Eclipse,knn,boot,downsample,28,64,4094,2047,2047,1364,682,682,short_long_description,200,258,241,424,441,0.5170340681362725,0.49017341040462425,0.5036037392704484,0.5170340681362725,0.36909871244635195,0.4307178631051753
